(150.0,0.0)
(139.6551724137931,6.334379995589757e-16)
(129.31034482758622,1.2668759991179515e-15)
(118.9655172413793,1.9003139986769272e-15)
(108.62068965517241,2.533751998235903e-15)
(98.27586206896552,3.1671899977948787e-15)
(87.93103448275862,3.8006279973538544e-15)
(77.58620689655172,4.4340659969128305e-15)
(67.24137931034483,5.067503996471806e-15)
(56.896551724137936,5.700941996030781e-15)
(46.55172413793103,6.334379995589757e-15)
(36.20689655172413,6.9678179951487335e-15)
(25.86206896551724,7.601255994707709e-15)
(15.517241379310349,8.234693994266684e-15)
(5.172413793103431,8.868131993825661e-15)
(-5.172413793103459,9.501569993384636e-15)
(-15.517241379310349,1.0135007992943612e-14)
(-25.86206896551724,1.0768445992502587e-14)
(-36.20689655172413,1.1401883992061562e-14)
(-46.551724137931046,1.203532199162054e-14)
(-56.896551724137936,1.2668759991179515e-14)
(-67.24137931034483,1.330219799073849e-14)
(-77.58620689655174,1.3935635990297467e-14)
(-87.93103448275863,1.4569073989856442e-14)
(-98.27586206896552,1.5202511989415418e-14)
(-108.62068965517244,1.5835949988974393e-14)
(-118.9655172413793,1.6469387988533368e-14)
(-129.31034482758622,1.7102825988092344e-14)
(-139.65517241379314,1.7736263987651322e-14)
(-150.0,1.8369701987210297e-14)
