(-34.202014332566854,-93.96926207859084)
(-31.351846471519615,-86.13849023870827)
(-28.50167861047238,-78.3077183988257)
(-25.65151074942514,-70.47694655894313)
(-22.801342888377903,-62.64617471906057)
(-19.951175027330663,-54.815402879177995)
(-17.101007166283424,-46.98463103929542)
(-14.250839305236187,-39.15385919941286)
(-11.400671444188948,-31.323087359530284)
(-8.550503583141708,-23.49231551964772)
(-5.700335722094472,-15.661543679765145)
(-2.8501678610472325,-7.830771839882573)
(7.105427357601002e-15,0.0)
(2.8501678610472467,7.830771839882573)
(5.700335722094479,15.661543679765131)
(8.550503583141719,23.492315519647704)
(11.400671444188959,31.323087359530277)
(14.250839305236198,39.153859199412835)
(17.101007166283438,46.98463103929541)
(19.95117502733067,54.81540287917798)
(22.80134288837791,62.646174719060554)
(25.65151074942515,70.47694655894313)
(28.50167861047239,78.3077183988257)
(31.35184647151963,86.13849023870827)
(34.20201433256687,93.96926207859084)
