ALL POSSIBLE CORNERS OF DIE
(-145.0,-112.0)
(-145.0,-42.0)
(-145.0,28.0)
(-145.0,98.0)
(-145.0,168.0)
(-121.0,-112.0)
(-121.0,-42.0)
(-121.0,28.0)
(-121.0,98.0)
(-121.0,168.0)
(-97.0,-112.0)
(-97.0,-42.0)
(-97.0,28.0)
(-97.0,98.0)
(-97.0,168.0)
(-73.0,-112.0)
(-73.0,-42.0)
(-73.0,28.0)
(-73.0,98.0)
(-73.0,168.0)
(-49.0,-112.0)
(-49.0,-42.0)
(-49.0,28.0)
(-49.0,98.0)
(-49.0,168.0)
(-25.0,-112.0)
(-25.0,-42.0)
(-25.0,28.0)
(-25.0,98.0)
(-25.0,168.0)
(-1.0,-112.0)
(-1.0,-42.0)
(-1.0,28.0)
(-1.0,98.0)
(-1.0,168.0)
(23.0,-112.0)
(23.0,-42.0)
(23.0,28.0)
(23.0,98.0)
(23.0,168.0)
(47.0,-112.0)
(47.0,-42.0)
(47.0,28.0)
(47.0,98.0)
(47.0,168.0)
(71.0,-112.0)
(71.0,-42.0)
(71.0,28.0)
(71.0,98.0)
(71.0,168.0)
(95.0,-112.0)
(95.0,-42.0)
(95.0,28.0)
(95.0,98.0)
(95.0,168.0)
(119.0,-112.0)
(119.0,-42.0)
(119.0,28.0)
(119.0,98.0)
(119.0,168.0)
(143.0,-112.0)
(143.0,-42.0)
(143.0,28.0)
(143.0,98.0)
(143.0,168.0)
